aen	aː ə n
verbassenheet	f ɐ b ɑ s ə n h eː t
verbatteren	f ɐ b ɑ t ə ʀ ə n
verbattert	f ɐ b ɑ t ɐ t
verbauen	f ɐ b ɑʊ ə n
verbaut	f ɐ b æːʊ t
verbéien	f ɐ b ɜɪ ə n
verbéit	f ɐ b ɜɪ t
verbéissen	f ɐ b ɜɪ s ə n
verbéisst	f ɐ b ɜɪ s t
verbesseren	f ɐ b æ s ə ʀ ə n
verbessert	f ɐ b æ s ɐ t
verbesserung	f ɐ b æ s ə ʀ u ŋ
verbesserungen	f ɐ b æ s ɐ u ŋ ə n
verbëtzen	f ɐ b ə ts ə n
verbëtzt	f ɐ b ə ts t
verbform	f ɐ b f ɔ ʀ m
verbformen	f ɐ b f ɔ ʀ m ə n
verbidden	f ɐ b i d ə n
verbueden	f ɐ b uə d ə n
verbiergen	f ɐ b iː ɐ ʑ ə n
verbiergt	f ɐ b iː ɐ ɕ t
verbindlech	f ɐ b i n d l ə ɕ
verbindung	f ɐ b i n d u ŋ
verbindungen	f ɐ b i n d u ŋ ə n
verbläit	f ɐ b l æːɪ t
verblatzen	f ɐ b l ɑ ts ə n
verblatzt	f ɐ b l ɑ ts t
verbléien	f ɐ b l ɜɪ ə n
verbléit	f ɐ b l ɜɪ t
verbleiwen	f ɐ b l ɑɪ v ə n
verbliwwen	f ɐ b l i v ə n
verblenden	f ɐ b l æ n d ə n
verblent	f ɐ b l æ n t
verblennen	f ɐ b l æ n ə n
verblennt	f ɐ b l æ n t
verblöden	f ɐ b l øː d ə n
verblöt	f ɐ b l øː t
verbludden	f ɐ b l u d ə n
verblutt	f ɐ b l u t
verbocken	f ɐ b o k ə n
verbockt	f ɐ b o k t
verbotz	f ɐ b o ts
verbotzen	f ɐ b o ts ə n
verbotzt	f ɐ b o ts t
verbrauch	f ɐ b ʀ æːʊ χ
verbrauchen	f ɐ b ʀ æːʊ χ ə n
verbraucht	f ɐ b ʀ æːʊ χ t
verbraucher	f ɐ b ʀ æːʊ χ ɐ
verbraucherin	f ɐ b ʀ æːʊ χ ə ʀ i n
verbraucherinnen	f ɐ b ʀ æːʊ χ ə ʀ i n ə n
verbreeden	f ɐ b ʀ eː d ə n
verbreet	f ɐ b ʀ eː t
verbreedung	f ɐ b ʀ eː d u ŋ
verbréngen	f ɐ b ʀ e ŋ ə n
verbruecht	f ɐ b ʀ uə ɕ t
verbrennen	f ɐ b ʀ æ n ə n
verbrannt	f ɐ b ʀ ɑ n t
verbrennung	f ɐ b ʀ æ n u ŋ
verbrennungen	f ɐ b ʀ æ n u ŋ ə n
verbriechen	f ɐ b ʀ iə ɕ ə n
verbrach	f ɐ b ʀ ɑ χ
verbriecher	f ɐ b ʀ iə ɕ ɐ
verbriecherin	f ɐ b ʀ iə ɕ ə ʀ i n
verbriecherinnen	f ɐ b ʀ iə ɕ ə ʀ i n ə n
verbrueden	f ɐ b ʀ uə d ə n
verbruet	f ɐ b ʀ uə t
verbuchen	f ɐ b u χ ə n
verbucht	f ɐ b u χ t
verbuet	f ɐ b uə t
verbueter	f ɐ b uə t ɐ
verbuetsschëld	f ɐ b uə t s ʃ ə l t
verbuetsschëlter	f ɐ b uə t s ʃ ə l t ɐ
verchroomt	f ɐ ɕ ʀ uː m t
verdacht	f ɐ d ɑ χ t
verdächteg	f ɐ d æ ɕ t ə ɕ
verdächtegen	f ɐ d æ ɕ t ə ʑ ə n
verdächtegt	f ɐ d æ ɕ t ə ɕ t
verdaddert	f ɐ d ɑ d ɐ t
verdäiwelen	f ɐ d æːɪ v ə l ə n
verdäiwelt	f ɐ d æːɪ v ə l t
verdamen	f ɐ d aː m ə n
verdaamt	f ɐ d aː m t
verdanken	f ɐ d ɑ ŋ k ə n
verdankt	f ɐ d ɑ ŋ k t
verdauen	f ɐ d ɑʊ ə n
verdaut	f ɐ d ɑʊ t
verdaulech	f ɐ d ɑʊ l ə ɕ
verdauung	f ɐ d ɑʊ u ŋ
verdauungsproblem	f ɐ d ɑʊ u ŋ s p ʀ o b l eː m
verdauungsproblemer	f ɐ d ɑʊ u ŋ s p ʀ o b l eː m ɐ
verdecken	f ɐ d æ k ə n
verdeckt	f ɐ d æ k t
verdeedegen	f ɐ d eː d ə ʑ ə n
verdeedegt	f ɐ d eː d ə ɕ t
verdeedeger	f ɐ d eː d ə ʑ ɐ
verdeedegerin	f ɐ d eː d ə ʑ ə ʀ i n
verdeedegerinnen	f ɐ d eː d ə ʑ ə ʀ i n ə n
verdeedegung	f ɐ d eː d ə ʑ u ŋ
verdeedegungen	f ɐ d eː d ə ʑ u ŋ ə n
verdeelen	f ɐ d eː l ə n
verdeelt	f ɐ d eː l t
verdeelung	f ɐ d eː l u ŋ
verdeelungen	f ɐ d eː l u ŋ ə n
verdeelungssystem	f ɐ d eː l u ŋ s s iː s t ə m
verdeelungssystemer	f ɐ d eː l u ŋ s s iː s t ə m ɐ
verdéiwen	f ɐ d ɜɪ v ə n
verdéift	f ɐ d ɜɪ f t
verdéiwung	f ɐ d ɜɪ v u ŋ
verdéiwungen	f ɐ d ɜɪ v u ŋ ə n
verdéngen	f ɐ d e ŋ ə n
verdéngt	f ɐ d e ŋ t
verdéngscht	f ɐ d e ŋ ʃ t
verdéngschter	f ɐ d e ŋ ʃ t ɐ
verdéngschtvoll	f ɐ d e ŋ ʃ t f o l
verdenken	f ɐ d æ ŋ k ə n
verdënnen	f ɐ d ə n ə n
verdënnt	f ɐ d ə n t
verdiebelen	f ɐ d iə b ə l ə n
verdiebelt	f ɐ d iə b ə l t
verdierflech	f ɐ d iː ɐ f l ə ɕ
verdierfnes	f ɐ d iː ɐ f n ə s
verdierfnis	f ɐ d iː ɐ f n i s
verdierwen	f ɐ d iː ɐ v ə n
verduerwen	f ɐ d uə v ə n
verdikt	f ɐ d i k t
verdikter	f ɐ d i k t ɐ
verdillegen	f ɐ d i l ə ʑ ə n
verdillegt	f ɐ d i l ə ɕ t
verdommen	f ɐ d o m ə n
verdommt	f ɐ d o m t
verdonneren	f ɐ d o n ə ʀ ə n
verdonnert	f ɐ d o n ɐ t
verdonsten	f ɐ d o n s t ə n
verdonst	f ɐ d o n s t
verdrängen	f ɐ d ʀ æ ŋ ə n
verdrängt	f ɐ d ʀ æ ŋ t
verdréchent	f ɐ d ʀ e ɕ ə n t
verdréchnen	f ɐ d ʀ ə ɕ n ə n
verdrécken	f ɐ d ʀ e k ə n
verdréckt	f ɐ d ʀ e k t
verdrecksen	f ɐ d ʀ æ k s ə n
verdreckst	f ɐ d ʀ æ k s t
verdreemt	f ɐ d ʀ eː m t
verdréien	f ɐ d ʀ ɜɪ ə n
verdréit	f ɐ d ʀ ɜɪ t
verdréinen	f ɐ d ʀ ɜɪ n ə n
verdréint	f ɐ d ʀ ɜɪ n t
verdréissen	f ɐ d ʀ ɜɪ s ə n
verdross	f ɐ d ʀ o s
verdreiwen	f ɐ d ʀ ɑɪ v ə n
verdriwwen	f ɐ d ʀ i v ə n
verdrësserlech	f ɐ d ʀ ə s ɐ l ə ɕ
verdrësslech	f ɐ d ʀ ə s l ə ɕ
verdroen	f ɐ d ʀ oː ə n
verdruddelen	f ɐ d ʀ u d ə l ə n
verdruddelt	f ɐ d ʀ u d ə l t
verduebelen	f ɐ d uə b ə l ə n
verduebelt	f ɐ d uə b ə l t
verduebelung	f ɐ d uə b ə l u ŋ
verduebelungen	f ɐ d uə b ə l u ŋ ə n
vereedegen	f ə ʀ eː d ə ʑ ə n
vereedegt	f ə ʀ eː d ə ɕ t
vereedegung	f ə ʀ eː d ə ʑ u ŋ
vereedegungen	f ə ʀ eː d ə ʑ u ŋ ə n
vereedelen	f ə ʀ eː d ə l ə n
vereedelt	f ə ʀ eː d ə l t
vereelzen	f ɐ eː l ts ə n
vereelzt	f ɐ eː l s t
vereenegung	f ə ʀ eː n ə ʑ u ŋ
vereenegungen	f ə ʀ eː n ə ʑ u ŋ ə n
vereenzelt	f ə ʀ eː n ts ə l t
verëffentlechen	f ɐ ə f ə n t l ə ɕ ə n
verëffentlecht	f ɐ ə f ə n t l ə ɕ t
verëffentlechung	f ɐ ə f ə n t l ə ɕ u ŋ
verëffentlechungen	f ɐ ə f ə n t l ə ɕ u ŋ ə n
verehrer	f ɐ ʀ ɐ
veréieren	f ə ʀ ɜɪ ə ʀ ə n
veréiert	f ə ʀ ɜɪ ɐ t
veréierung	f ə ʀ ɜɪ ə ʀ u ŋ
vereinfachen	f ə ʀ ɑɪ n f ɑ χ ə n
vereinfacht	f ə ʀ ɑɪ n f ɑ χ t
vereinfachung	f ə ʀ ɑɪ n f ɑ χ u ŋ
vereinfachungen	f ə ʀ ɑɪ n f ɑ χ u ŋ ə n
veréiwegen	f ə ʀ ɜɪ v ə ʑ ə n
veréiwegt	f ə ʀ ɜɪ v ə ɕ t
verënnerlechen	f ɐ ə n ɐ l ə ɕ ə n
verënnerlecht	f ɐ ə n ɐ l ə ɕ t
verfaassen	f ɐ f aː s ə n
verfaasst	f ɐ f aː s t
verfahren	f ɐ f aː ʀ ə n
verfalen	f ɐ f aː l ə n
verfall	f ɐ f ɑ l
verfallsdatum	f ɐ f ɑ l s d aː t u m
verfallsdatumen	f ɐ f ɑ l s d aː t u m ə n
verfälschen	f ɐ f æ l ʃ ə n
verfälscht	f ɐ f æ l ʃ t
verfälschung	f ɐ f æ l ʃ u ŋ
verfälschungen	f ɐ f æ l ʃ u ŋ ə n
verfänglech	f ɐ f æ ŋ l ə ɕ
verfänken	f ɐ f æ ŋ k ə n
verfaangen	f ɐ f aː ŋ ə n
verfassung	f ɐ f ɑ s u ŋ
verfassungen	f ɐ f ɑ s u ŋ ə n
verfault	f ɐ f ɑʊ l t
verfechter	f ɐ f ə ɕ t ɐ
verfechterin	f ɐ f æ ɕ t ə ʀ i n
verfechterinnen	f ɐ f ə ɕ t ə ʀ i n ə n
verfeelen	f ɐ f eː l ə n
verfeelt	f ɐ f eː l t
verfeelung	f ɐ f eː l u ŋ
verfeelungen	f ɐ f eː l u ŋ ə n
verfehlen	f ɐ f eː l ə n
verfehlt	f ɐ f eː l t
verfehlung	f ɐ f eː l u ŋ
verfehlungen	f ɐ f eː l u ŋ ə n
verféieren	f ɐ f ɜɪ ə ʀ ə n
verféiert	f ɐ f ɜɪ ɐ t
verfeineren	f ɐ f ɑɪ n ə ʀ ə n
verfeinert	f ɐ f ɑɪ n ɐ t
verfeinerung	f ɐ f ɑɪ n ə ʀ u ŋ
verfeinerungen	f ɐ f ɑɪ n ə ʀ u ŋ ə n
verfeint	f ɐ f ɑɪ n t
verfidderen	f ɐ f i d ə ʀ ə n
verfiddert	f ɐ f i d ɐ t
verfierwen	f ɐ f iː ɐ v ə n
verfierft	f ɐ f iː ɐ f t
verfierwung	f ɐ f iː ɐ v u ŋ
verfilmen	f ɐ f i l m ə n
verfilmt	f ɐ f i l m t
verfilmung	f ɐ f i l m u ŋ
verfilmungen	f ɐ f i l m u ŋ ə n
verfilzen	f ɐ f i l ts ə n
verfilzt	f ɐ f i l ts t
verflappen	f ɐ f l ɑ p ə n
verflappt	f ɐ f l ɑ p t
verfleegung	f ɐ f l eː ʑ u ŋ
verfléien	f ɐ f l ɜɪ ə n
verflunn	f ɐ f l u n
verflichten	f ɐ f l i ɕ t ə n
verflicht	f ɐ f l i ɕ t
verflichtung	f ɐ f l i ɕ t u ŋ
verflichtungen	f ɐ f l i ɕ t u ŋ ə n
verfluchen	f ɐ f l u χ ə n
verflucht	f ɐ f l u χ t
verfollegen	f ɐ f o l ə ʑ ə n
verfollegt	f ɐ f o l ə ɕ t
verformen	f ɐ f ɔ ʀ m ə n
verformt	f ɐ f ɔ ʀ m t
verformung	f ɐ f ɔ ʀ m u ŋ
verformungen	f ɐ f ɔ ʀ m u ŋ ə n
verfrachten	f ɐ f ʀ ɑ χ t ə n
verfracht	f ɐ f ʀ ɑ χ t
verfréit	f ɐ f ʀ ɜɪ t
verfriessen	f ɐ f ʀ iə s ə n
verfriess	f ɐ f ʀ iə s
verfroossen	f ɐ f ʀ oː s ə n
verfuer	f ɐ f uː ɐ
verfueren	f ɐ f uː ɐ ʀ ə n
verfügbar	f ɐ f yː ʑ b aː ʀ
verfügen	f ɐ f yː ʑ ə n
verfüügt	f ɐ f yː ɕ t
verfügung	f ɐ f yː ʑ u ŋ
verfuschen	f ɐ f u ʃ ə n
verfuscht	f ɐ f u ʃ t
verfuussen	f ɐ f uː s ə n
verfuusst	f ɐ f uː s t
vergaangen	f ɐ g aː ŋ ə n
vergaangenheet	f ɐ g aː ŋ ə n h eː t
vergadderen	f ɐ g ɑ d ə ʀ ə n
vergaddert	f ɐ g ɑ d ɐ t
vergänglech	f ɐ g æ ŋ l ə ɕ
vergänglechkeet	f ɐ g æ ŋ l ə ɕ k eː t
vergasen	f ɐ g aː z ə n
vergaast	f ɐ g aː s t
vergëften	f ɐ g ə f t ə n
vergëft	f ɐ g ə f t
vergëftung	f ɐ g ə f t u ŋ
vergëftungen	f ɐ g ə f t u ŋ ə n
vergëlden	f ɐ g ə l d ə n
vergëlt	f ɐ g ə l t
vergëllen	f ɐ g ə l ə n
vergëllt	f ɐ g ə l t
vergënschtegung	f ɐ g ə n ʃ t ə ʑ u ŋ
vergënschtegungen	f ɐ g ə n ʃ t ə ʑ u ŋ ə n
vergësserlech	f ɐ g ə s ɐ l ə ɕ
vergësserlechkeet	f ɐ g ə s ɐ l ə ɕ k eː t
vergëtteren	f ɐ g ə t ə ʀ ə n
vergëttert	f ɐ g ə t ɐ t
vergewaltegen	f ɐ g ə v ɑ l t ə ʑ ə n
vergewaltegt	f ɐ g ə v ɑ l t ə ɕ t
vergewalteger	f ɐ g ə v ɑ l t ə ʑ ɐ
vergewaltegung	f ɐ g ə v ɑ l t ə ʑ u ŋ
vergewaltegungen	f ɐ g ə v ɑ l t ə ʑ u ŋ ə n
vergewësseren	f ɐ g ə v ə s ə ʀ ə n
vergewëssert	f ɐ g ə v ə s ɐ t
vergiess	f ɐ g iə s
vergiessen	f ɐ g iə s ə n
vergiesserlech	f ɐ g iə s ɐ l ə ɕ
vergiesserlechkeet	f ɐ g iə s ɐ l ə ɕ k eː t
vergiesslech	f ɐ g iə s l ə ɕ
vergiesslechkeet	f ɐ g iə s l ə ɕ k eː t
verginn	f ɐ g i n
vergitteren	f ɐ g i t ə ʀ ə n
vergittert	f ɐ g i t ɐ t
verglach	f ɐ g l ɑ χ
vergläicher	f ɐ g l æːɪ ɕ ɐ
vergläich	f ɐ g l æːɪ ɕ
vergläichbar	f ɐ g l æːɪ ɕ b aː ʀ
vergläichen	f ɐ g l æːɪ ɕ ə n
verglasung	f ɐ g l aː s u ŋ
verglasungen	f ɐ g l aː s u ŋ ə n
verglousen	f ɐ g l əʊ z ə n
vergloust	f ɐ g l əʊ s t
vergoen	f ɐ g oː ə n
vergonnen	f ɐ g o n ə n
vergonnt	f ɐ g o n t
vergraff	f ɐ g ʀ ɑ f
vergräifen	f ɐ g ʀ æːɪ f ə n
vergraulen	f ɐ g ʀ ɑʊ l ə n
vergrault	f ɐ g ʀ ɑʊ l t
vergréisseren	f ɐ g ʀ ɜɪ s ə ʀ ə n
vergréissert	f ɐ g ʀ ɜɪ s ɐ t
vergréisserungsglas	f ɐ g ʀ ɜɪ s ə ʀ u ŋ s g l aː s
vergréisserungsglieser	f ɐ g ʀ ɜɪ s ə ʀ u ŋ s g l iə z ɐ
vergruewen	f ɐ g ʀ uə v ə n
vergulden	f ɐ g l d ə n
vergult	f ɐ g u l t
verhaasst	f ɐ h aː s t
verhäerden	f ɐ h ɛː ɐ d ə n
verhäert	f ɐ h ɛː ɐ t
verhaften	f ɐ h ɑ f t ə n
verhaft	f ɐ h ɑ f t
verhaftung	f ɐ h ɑ f t u ŋ
verhaftungen	f ɐ h ɑ f t u ŋ ə n
verhalen	f ɐ h aː l ə n
verhalt	f ɐ h ɑ l t
verhältnes	f ɐ h æ l t n ə s
verhältnesser	f ɐ h æ l t n ə s ɐ
verhältnesméisseg	f ɐ h æ l t n ə s m ɜɪ s ə ɕ
verhältnis	f ɐ h æ l t n i s
verhältnisser	f ɐ h æ l t n i s ɐ
verhältnisméisseg	f ɐ h æ l t n i s m ɜɪ s ə ɕ
verhandelen	f ɐ h ɑ n d ə l ə n
verhandelt	f ɐ h ɑ n d ə l t
verhandlung	f ɐ h ɑ n d l u ŋ
verhandlungen	f ɐ h ɑ n d l u ŋ ə n
verhandlungsgeschéck	f ɐ h ɑ n d l u ŋ s g ə ʃ e k
verhängnes	f ɐ h æ ŋ n ə s
verhängnis	f ɐ h æ ŋ n i s
verhänken	f ɐ h æ ŋ k ə n
verhaangen	f ɐ h aː ŋ ə n
verharmlosen	f ɐ h ɑ ʀ m l oː z ə n
verharmlost	f ɐ h ɑ ʀ m l oː s t
verhaselen	f ɐ h ɑ z ə l ə n
verhaselt	f ɐ h ɑ z ə l t
verhätschelen	f ɐ h æ t ʃ ə l ə n
verhätschelt	f ɐ h æ t ʃ ə l t
verheelen	f ɐ h eː l ə n
verheelt	f ɐ h eː l t
verheemlechen	f ɐ h eː m l ə ɕ ə n
verheemlecht	f ɐ h eː m l ə ɕ t
verhéier	f ɐ h ɜɪ ɐ
verhéieren	f ɐ h ɜɪ ə ʀ ə n
verhéiert	f ɐ h ɜɪ ɐ t
verhëllefen	f ɐ h ə l ə f ə n
verhollef	f ɐ h o l ə f
verhënneren	f ɐ h ə n ə ʀ ə n
verhënnert	f ɐ h ə n ɐ t
verherrlechen	f ɐ h ɛː ɐ l ə ɕ ə n
verherrlecht	f ɐ h ɛː ɐ l ə ɕ t
verherrlechung	f ɐ h ɛː ɐ l ə ɕ u ŋ
verherrlechungen	f ɐ h ɛː ɐ l ə ɕ u ŋ ə n
verhexen	f ɐ h æ k s ə n
verhext	f ɐ h æ k s t
verhiewen	f ɐ h iə v ə n
verhuewen	f ɐ h uə v ə n
verhonzen	f ɐ h o n ts ə n
verhonzt	f ɐ h o n ts t
verhouert	f ɐ h əʊ ɐ t
verierwen	f ə ʀ iː ɐ v ə n
verierft	f ə ʀ iː ɐ f t
veriren	f ə ʀ iː ʀ ə n
veriert	f ə ʀ iː ɐ t
veriwwelen	f ə ʀ i v ə l ə n
veriwwelt	f ə ʀ i v ə l t
verjären	f ɐ j ɛː ʀ ə n
verjäert	f ɐ j ɛː ɐ t
verjärung	f ɐ j ɛː ʀ u ŋ
verjärungen	f ɐ j ɛː ʀ u ŋ ə n
verjéngen	f ɐ j e ŋ ə n
verjéngt	f ɐ j e ŋ t
verjoen	f ɐ j oː ə n
verjot	f ɐ j oː t
verjuppen	f ɐ ʑ u p ə n
verjuppt	f ɐ ʑ u p t
verkabelen	f ɐ k aː b ə l ə n
verkabelt	f ɐ k aː b ə l t
verkachen	f ɐ k ɑ χ ə n
verkacht	f ɐ k ɑ χ t
verkaf	f ɐ k aː f
verkeef	f ɐ k eː f
verkafen	f ɐ k aː f ə n
verkaaft	f ɐ k aː f t
verkafspolitik	f ɐ k aː f s p o l i t i k
verkafsstrategie	f ɐ k aː f s ʃ t ʀ aː t ə ɕ iə
verkafsstrategien	f ɐ k aː f s ʃ t ʀ aː t ə ɕ iə n
verkalkuléieren	f ɐ k aː l k u l ɜɪ ə ʀ ə n
verkalkuléiert	f ɐ k aː l k u l ɜɪ ɐ t
verkalleken	f ɐ k ɑ l e k ə n
verkallekt	f ɐ k ɑ l æ k t
verkeefer	f ɐ k eː f ɐ
verkeeferin	f ɐ k eː f ə ʀ i n
verkeeferinnen	f ɐ k eː f ə ʀ i n ə n
verkéier	f ɐ k ɜɪ ɐ
verkéieren	f ɐ k ɜɪ ə ʀ ə n
verkéiert	f ɐ k ɜɪ ɐ t
verkéiersaccident	f ɐ k ɜɪ ɐ s ɑ k s i d æ n t
verkéiersaccidenter	f ɐ k ɜɪ ɐ s ɑ k s i d æ n t ɐ
verkéiersreegel	f ɐ k ɜɪ ɐ s ʀ eː ʑ ə l
verkéiersreegelen	f ɐ k ɜɪ ɐ s ʀ eː ʑ ə l ə n
verkéiersregel	f ɐ k ɜɪ ɐ s ʀ eː ʑ ə l
verkéiersregelen	f ɐ k ɜɪ ɐ s ʀ eː ʑ ə l ə n
verkéiersschëld	f ɐ k ɜɪ ɐ s ʃ ə l t
verkéiersschëlter	f ɐ k ɜɪ ɐ s ʃ ə l t ɐ
verkënnegen	f ɐ k ə n ə ʑ ə n
verkënnegt	f ɐ k ə n ə ɕ t
verkënnegung	f ɐ k ə n ə ʑ u ŋ
verkënnegungen	f ɐ k ə n ə ʑ u ŋ ə n
verkennen	f ɐ k æ n ə n
verkannt	f ɐ k ɑ n t
verkënnen	f ɐ k ə n ə n
verkënnt	f ɐ k ə n t
verkierperen	f ɐ k iə p ə ʀ ə n
verkierpert	f ɐ k iə p ɐ t
verkierperung	f ɐ k iə p ə ʀ u ŋ
verkierperungen	f ɐ k iə p ɐ u ŋ ə n
verkierzen	f ɐ k iː ɐ ts ə n
verkierzt	f ɐ k iː ɐ ts t
verkierzung	f ɐ k iː ɐ ts u ŋ
verkierzungen	f ɐ k iː ɐ ts u ŋ ə n
verklappen	f ɐ k l ɑ p ə n
verklappt	f ɐ k l ɑ p t
verkleeden	f ɐ k l eː d ə n
verkleet	f ɐ k l eː t
verkleedung	f ɐ k l eː d u ŋ
verkleedungen	f ɐ k l eː d u ŋ ə n
verklemmt	f ɐ k l æ m t
verkléngen	f ɐ k l e ŋ ə n
verklongen	f ɐ k l o ŋ ə n
verkloen	f ɐ k l oː ə n
verklot	f ɐ k l oː t
verklompen	f ɐ k l o m p ə n
verklompt	f ɐ k l o m p t
verknacksen	f ɐ k n ɑ k s ə n
verknackst	f ɐ k n ɑ k s t
verknallen	f ɐ k n ɑ l ə n
verknallt	f ɐ k n ɑ l t
verknaschten	f ɐ k n ɑ ʃ t ə n
verknascht	f ɐ k n ɑ ʃ t
verknëppung	f ɐ k n ə p u ŋ
verknëppungen	f ɐ k n ə p u ŋ ə n
verkommen	f ɐ k o m ə n
verkomm	f ɐ k o m
verkoppelen	f ɐ k o p ə l ə n
verkoppelt	f ɐ k o p ə l t
verkraaften	f ɐ k ʀ aː f t ə n
verkraaft	f ɐ k ʀ aː f t
verkraften	f ɐ k ʀ aː f t ə n
verkraft	f ɐ k ʀ ɑ f t
verkrampfen	f ɐ k ʀ ɑ m p f ə n
verkrampft	f ɐ k ʀ ɑ m p f t
verkrampfung	f ɐ k ʀ ɑ m p f u ŋ
verkrampfungen	f ɐ k ʀ ɑ m p f u ŋ ə n
verkrasch	f ɐ k ʀ ɑ ʃ
verkrauchen	f ɐ k ʀ æːʊ χ ə n
verkroch	f ɐ k ʀ o χ
verkrëmmt	f ɐ k ʀ ə m t
verkrëppelt	f ɐ k ʀ ə p ə l t
verkucken	f ɐ k u k ə n
verkuckt	f ɐ k u k t
verkuerbelen	f ɐ k uə ɐ b ə l ə n
verkuerbelt	f ɐ k uə ɐ b ə l t
verlaangen	f ɐ l aː ŋ ə n
verlaangt	f ɐ l aː ŋ t
verlaangeren	f ɐ l aː ŋ ə ʀ ə n
verlaangert	f ɐ l aː ŋ ɐ t
verlaf	f ɐ l aː f
verlafen	f ɐ l aː f ə n
verlag	f ɐ l aː χ
verlagen	f ɐ l aː ʁ ə n
verlageren	f ɐ l aː g ə ʀ ə n
verlagert	f ɐ l aː χ ɛː ʀ
verlagerung	f ɐ l aː ʁ ə ʀ u ŋ
verlagerungen	f ɐ l aː ʁ ə ʀ u ŋ ə n
verlagskatalog	f ɐ l aː χ s k aː t aː l oː χ
verlagskatalogen	f ɐ l aː χ s k ɑ t ɑ l oː g ə n
verlängeren	f ɐ l æ ŋ ə ʀ ə n
verlängert	f ɐ l æ ŋ ɐ t
verlängerung	f ɐ l æ ŋ ə ʀ u ŋ
verlängerungen	f ɐ l æ ŋ ə ʀ u ŋ ə n
verläschen	f ɐ l æ ʃ ə n
verläscht	f ɐ l æ ʃ t
verlauden	f ɐ l ɑʊ d ə n
verlauschteren	f ɐ l æːʊ ʃ t ə ʀ ə n
verlauschtert	f ɐ l æːʊ ʃ t ɐ t
verleeden	f ɐ l eː d ə n
verleet	f ɐ l eː t
verleeën	f ɐ l eː ə n
verluecht	f ɐ l uə ɕ t
verleeënheet	f ɐ l eː ə n h eː t
verleegnen	f ɐ l eː ʑ n ə n
verleegent	f ɐ l eː ʑ ə n t
verléieren	f ɐ l ɜɪ ə ʀ ə n
verluer	f ɐ l uː ɐ
verléiert	f ɐ l ɜɪ ɐ t
verléierer	f ɐ l ɜɪ ə ʀ ɐ
verléierin	f ɐ l ɜɪ ə ʀ i n
verléierinnen	f ɐ l ɜɪ ə ʀ i n ə n
verléift	f ɐ l ɜɪ f t
verléinen	f ɐ l ɜɪ n ə n
verléint	f ɐ l ɜɪ n t
verléiwen	f ɐ l ɜɪ v ə n
verletzen	f ɐ l æ ts ə n
verletzt	f ɐ l æ ts t
verletzung	f ɐ l æ ts u ŋ
verletzungen	f ɐ l æ ts u ŋ ə n
verlieft	f ɐ l iə f t
verloben	f ɐ l oː b ə n
verloobt	f ɐ l oː p t
verlobung	f ɐ l oː b u ŋ
verlobungen	f ɐ l oː b u ŋ ə n
verlooss	f ɐ l oː s
verloossen	f ɐ l oː s ə n
verloscht	f ɐ l o ʃ t
verloschter	f ɐ l o ʃ t ɐ
verlounen	f ɐ l əʊ n ə n
verlount	f ɐ l əʊ n t
verlousen	f ɐ l əʊ z ə n
verloust	f ɐ l əʊ s t
verlousung	f ɐ l əʊ z u ŋ
verlousungen	f ɐ l əʊ z u ŋ ə n
verlueden	f ɐ l uə d ə n
verlugen	f ɐ l u ʁ ə n
vermaachen	f ɐ m aː χ ə n
vermaach	f ɐ m aː χ
vermaarten	f ɐ m aː ʀ t ə n
vermaart	f ɐ m aː ʀ t
vermaartung	f ɐ m aː ʀ t u ŋ
vermaartungen	f ɐ m aː ʀ t u ŋ ə n
vermächtnis	f ɐ m æ ɕ t n i s
vermächtnisser	f ɐ m æ ɕ t n i s ɐ
vermasselen	f ɐ m ɑ s ə l ə n
vermasselt	f ɐ m ɑ s æ l t
vermeiden	f ɐ m ɑɪ d ə n
vermidden	f ɐ m i d ə n
verméigen	f ɐ m ɜɪ ʑ ə n
vermengt	f ɐ m æ ŋ t
vermëschen	f ɐ m ə ʃ ə n
vermëscht	f ɐ m ə ʃ t
vermëssen	f ɐ m ə s ə n
vermësst	f ɐ m ə s t
vermessen	f ɐ m ə s ə n
vermessenheet	f ɐ m ə s ə n h eː t
vermëttelen	f ɐ m ə t ə l ə n
vermëttelt	f ɐ m ə t ə l t
vermëttler	f ɐ m ə t l ɐ
vermëttlerin	f ɐ m ə t l ə ʀ i n
vermëttlerinnen	f ɐ m ə t l ə ʀ i n ə n
vermëttlung	f ɐ m ə t l u ŋ
vermiechtnes	f ɐ m iə ɕ t n ə s
vermiechtnesser	f ɐ m iə ɕ t n ə s ɐ
vermiessen	f ɐ m iə s ə n
vermiess	f ɐ m iə s
verminnen	f ɐ m i n ə n
verminnt	f ɐ m i n t
vermiwwelen	f ɐ m i v ə l ə n
vermiwwelt	f ɐ m i v ə l t
vermoossen	f ɐ m oː s ə n
vermooss	f ɐ m oː s
vermoschteren	f ɐ m o ʃ t ə ʀ ə n
vermoschtert	f ɐ m o ʃ t ɐ t
vermummen	f ɐ m u m ə n
vermummt	f ɐ m uː m t
vermurksen	f ɐ m uː ɐ k s ə n
vermurkst	f ɐ m uː ɐ k s t
vermuuschten	f ɐ m uː ʃ t ə n
vermuuscht	f ɐ m uː ʃ t
vernäipen	f ɐ n æːɪ p ə n
vernäipt	f ɐ n æːɪ p t
vernéieren	f ɐ n ɜɪ ə ʀ ə n
vernéiert	v ɛ ʀ n ɜɪ ɐ t
